SiteCode,EventCode,Date
Huckle.Loyalsock,201606.Huckle.Loyalsock,6/21/2016
Painter.LittleBear,201606.Painter.LittleBear,6/21/2016
Red.LittleBear,201606.Red.LittleBear,6/21/2016
SandSpring.LittleBear,201606.SandSpring.LittleBear,6/21/2016
Coal.UpperLoyalsock,201606.Coal.UpperLoyalsock,6/22/2016
Fall.Hoagland,201606.Fall.Hoagland,6/22/2016
Swamp.Hoagland,201606.Swamp.Hoagland,6/22/2016
Weed.Hoagland,201606.Weed.Hoagland,6/22/2016
Lake.Elk,201606.Lake.Elk,6/23/2016
Yellow.LittleLoyalsock,201606.Yellow.LittleLoyalsock,6/23/2016
Sand.MillMokoma,201706.Sand.MillMokoma,6/19/2017
Lick.Kings,201706.Lick.Kings,6/20/2017
Painter.LittleBear,201706.Painter.LittleBear,6/20/2017
Red.LittleBear,201706.Red.LittleBear,6/20/2017
SandSpring.LittleBear,201706.SandSpring.LittleBear,6/20/2017
Scar.LowerLoyalsock,201706.Scar.LowerLoyalsock,6/20/2017
Brunnerdale.Ogdonia,201706.Brunnerdale.Ogdonia,6/21/2017
Conklin.LakeMokoma,201706.Conklin.LakeMokoma,6/21/2017
DrySock.LowerLoyalsock,201706.DrySock.LowerLoyalsock,6/21/2017
Dutchman.UpperLoyalsock,201706.Dutchman.UpperLoyalsock,6/21/2017
Huckle.Loyalsock,201706.Huckle.Loyalsock,6/21/2017
BearRun.Loyalsock,201706.BearRun.Loyalsock,6/22/2017
Coal.UpperLoyalsock,201706.Coal.UpperLoyalsock,6/22/2017
Mill.Loyalsock,201706.Mill.Loyalsock,6/22/2017
Porter.Hoagland,201706.Porter.Hoagland,6/22/2017
Rock.LittleLoyalsock,201706.Rock.LittleLoyalsock,6/22/2017
DryHB.Hoagland,201706.DryHB.Hoagland,6/26/2017
Ellis.UpperLoyalsock,201706.Ellis.UpperLoyalsock,6/26/2017
FlagMarsh.Pigeon,201706.FlagMarsh.Pigeon,6/26/2017
Level.Lick,201706.Level.Lick,6/26/2017
Streby.Lick,201706.Streby.Lick,6/26/2017
Yellow.LittleLoyalsock,201706.Yellow.LittleLoyalsock,6/26/2017
Fall.Hoagland,201706.Fall.Hoagland,6/27/2017
Lake.Elk,201706.Lake.Elk,6/27/2017
Sherman.UpperLoyalsock,201706.Sherman.UpperLoyalsock,6/27/2017
Swamp.Hoagland,201706.Swamp.Hoagland,6/27/2017
Weed.Hoagland,201706.Weed.Hoagland,6/27/2017
Grandad.Hessler,201706.Grandad.Hessler,6/28/2017
Shingle.Bear,201706.Shingle.Bear,6/28/2017
Snake.BearLoyalsock,201706.Snake.BearLoyalsock,6/28/2017
Level.Lick,201806.Level.Lick,6/18/2018
Scar.LowerLoyalsock,201806.Scar.LowerLoyalsock,6/18/2018
Streby.Lick,201806.Streby.Lick,6/18/2018
DryHB.Hoagland,201806.DryHB.Hoagland,6/19/2018
Huckle.Loyalsock,201806.Huckle.Loyalsock,6/19/2018
Lick.Kings,201806.Lick.Kings,6/19/2018
Porter.Hoagland,201806.Porter.Hoagland,6/19/2018
Swamp.Hoagland,201806.Swamp.Hoagland,6/19/2018
Conklin.LakeMokoma,201806.Conklin.LakeMokoma,6/20/2018
Dutchman.UpperLoyalsock,201806.Dutchman.UpperLoyalsock,6/20/2018
Ellis.UpperLoyalsock,201806.Ellis.UpperLoyalsock,6/20/2018
FlagMarsh.Pigeon,201806.FlagMarsh.Pigeon,6/20/2018
Sand.MillMokoma,201806.Sand.MillMokoma,6/20/2018
Sherman.UpperLoyalsock,201806.Sherman.UpperLoyalsock,6/20/2018
Brunnerdale.Ogdonia,201806.Brunnerdale.Ogdonia,6/21/2018
Fall.Hoagland,201806.Fall.Hoagland,6/21/2018
Lake.Elk,201806.Lake.Elk,6/21/2018
Rock.LittleLoyalsock,201806.Rock.LittleLoyalsock,6/21/2018
Weed.Hoagland,201806.Weed.Hoagland,6/21/2018
BearRun.Loyalsock,201806.BearRun.Loyalsock,6/22/2018
Coal.UpperLoyalsock,201806.Coal.UpperLoyalsock,6/22/2018
DrySock.LowerLoyalsock,201806.DrySock.LowerLoyalsock,6/22/2018
Mill.Loyalsock,201806.Mill.Loyalsock,6/22/2018
Painter.LittleBear,201806.Painter.LittleBear,6/23/2018
Red.LittleBear,201806.Red.LittleBear,6/23/2018
SandSpring.LittleBear,201806.SandSpring.LittleBear,6/23/2018
Grandad.Hessler,201806.Grandad.Hessler,6/25/2018
Shingle.Bear,201806.Shingle.Bear,6/25/2018
Snake.BearLoyalsock,201806.Snake.BearLoyalsock,6/25/2018
Yellow.LittleLoyalsock,201806.Yellow.LittleLoyalsock,6/25/2018
Brunnerdale.Ogdonia,201906.Brunnerdale.Ogdonia,6/17/2019
Scar.LowerLoyalsock,201906.Scar.LowerLoyalsock,6/17/2019
Sand.MillMokoma,201906.Sand.MillMokoma,6/21/2019
Grandad.Hessler,201906.Grandad.Hessler,6/23/2019
Red.LittleBear,201906.Red.LittleBear,6/23/2019
SandSpring.LittleBear,201906.SandSpring.LittleBear,6/23/2019
BearRun.Loyalsock,201906.BearRun.Loyalsock,6/24/2019
Rock.LittleLoyalsock,201906.Rock.LittleLoyalsock,6/24/2019
Yellow.LittleLoyalsock,201906.Yellow.LittleLoyalsock,6/24/2019
Coal.UpperLoyalsock,201906.Coal.UpperLoyalsock,6/25/2019
Conklin.LakeMokoma,201906.Conklin.LakeMokoma,6/25/2019
DrySock.LowerLoyalsock,201906.DrySock.LowerLoyalsock,6/25/2019
Dutchman.UpperLoyalsock,201906.Dutchman.UpperLoyalsock,6/25/2019
Ellis.UpperLoyalsock,201906.Ellis.UpperLoyalsock,6/25/2019
FlagMarsh.Pigeon,201906.FlagMarsh.Pigeon,6/25/2019
Mill.Loyalsock,201906.Mill.Loyalsock,6/25/2019
Sherman.UpperLoyalsock,201906.Sherman.UpperLoyalsock,6/25/2019
DryHB.Hoagland,201906.DryHB.Hoagland,6/26/2019
Level.Lick,201906.Level.Lick,6/26/2019
Lick.Kings,201906.Lick.Kings,6/26/2019
Porter.Hoagland,201906.Porter.Hoagland,6/26/2019
Streby.Lick,201906.Streby.Lick,6/26/2019
Swamp.Hoagland,201906.Swamp.Hoagland,6/26/2019
Huckle.Loyalsock,201906.Huckle.Loyalsock,6/27/2019
Lake.Elk,201906.Lake.Elk,6/27/2019
Painter.LittleBear,201906.Painter.LittleBear,6/27/2019
Shingle.Bear,201906.Shingle.Bear,6/27/2019
Snake.BearLoyalsock,201906.Snake.BearLoyalsock,6/27/2019
Fall.Hoagland,201906.Fall.Hoagland,6/28/2019
Weed.Hoagland,201906.Weed.Hoagland,6/28/2019
Conklin.LakeMokoma,202006.Conklin.LakeMokoma,6/16/2020
Dutchman.UpperLoyalsock,202006.Dutchman.UpperLoyalsock,6/16/2020
Mill.Loyalsock,202006.Mill.Loyalsock,6/16/2020
Sand.MillMokoma,202006.Sand.MillMokoma,6/16/2020
Ellis.UpperLoyalsock,202006.Ellis.UpperLoyalsock,6/17/2020
FlagMarsh.Pigeon,202006.FlagMarsh.Pigeon,6/17/2020
Sherman.UpperLoyalsock,202006.Sherman.UpperLoyalsock,6/17/2020
Yellow.LittleLoyalsock,202006.Yellow.LittleLoyalsock,6/17/2020
BearRun.Loyalsock,202006.BearRun.Loyalsock,6/18/2020
Coal.UpperLoyalsock,202006.Coal.UpperLoyalsock,6/18/2020
Lake.Elk,202006.Lake.Elk,6/18/2020
Streby.Lick,202006.Streby.Lick,6/18/2020
Brunnerdale.Ogdonia,202006.Brunnerdale.Ogdonia,6/19/2020
Rock.LittleLoyalsock,202006.Rock.LittleLoyalsock,6/19/2020
Scar.LowerLoyalsock,202006.Scar.LowerLoyalsock,6/19/2020
Painter.LittleBear,202006.Painter.LittleBear,6/22/2020
Red.LittleBear,202006.Red.LittleBear,6/22/2020
SandSpring.LittleBear,202006.SandSpring.LittleBear,6/22/2020
DryHB.Hoagland,202006.DryHB.Hoagland,6/23/2020
DrySock.LowerLoyalsock,202006.DrySock.LowerLoyalsock,6/23/2020
Grandad.Hessler,202006.Grandad.Hessler,6/23/2020
Shingle.Bear,202006.Shingle.Bear,6/23/2020
Swamp.Hoagland,202006.Swamp.Hoagland,6/23/2020
Level.Lick,202006.Level.Lick,6/24/2020
Porter.Hoagland,202006.Porter.Hoagland,6/24/2020
Snake.BearLoyalsock,202006.Snake.BearLoyalsock,6/24/2020
Fall.Hoagland,202006.Fall.Hoagland,6/25/2020
Huckle.Loyalsock,202006.Huckle.Loyalsock,6/25/2020
Lick.Kings,202006.Lick.Kings,6/25/2020
Weed.Hoagland,202006.Weed.Hoagland,6/25/2020
Painter.LittleBear,202106.Painter.LittleBear,6/14/2021
Red.LittleBear,202106.Red.LittleBear,6/14/2021
DryHB.Hoagland,202106.DryHB.Hoagland,6/15/2021
Coal.UpperLoyalsock,202106.Coal.UpperLoyalsock,6/16/2021
Rock.LittleLoyalsock,202106.Rock.LittleLoyalsock,6/16/2021
Grandad.Hessler,202106.Grandad.Hessler,6/17/2021
