"","SiteCode","Year","Month","Highest_Temperature_C","Lowest_Temperature_C","AvgMin","AvgMax","Avg_YM_TempC","PropLogL3","PropLogL5","PropLogL4.5","PropLogG20","PropLogG24"
"42","Dry.Hoagland","2018","03",5.757,0.232,1.77196774193548,3.15383870967742,2.42892809139785,0.733534946236559,0.943212365591398,0.904569892473118,0,0
"43","Dry.Hoagland","2021","03",9.965,-0.887,2.75329032258065,4.76906451612903,3.71836827956989,0.464717741935484,0.709005376344086,0.674059139784946,0,0
"44","Dutchman.Loyalsock","2021","03",8.182,0.121,2.59370967741935,3.91770967741935,3.2559311155914,0.57258064516129,0.76747311827957,0.738239247311828,0,0
"45","Ellis.Loyalsock","2021","03",9.768,0.121,2.25516129032258,4.86941935483871,3.34992775537634,0.535282258064516,0.744623655913978,0.696236559139785,0,0
"46","Grandad.Hessler","2021","03",8.68,1.656,4.60441935483871,5.61303225806452,5.11009946236559,0.138104838709677,0.474462365591398,0.350470430107527,0,0
"47","Level.Lick","2021","03",9.077,0.121,2.34838709677419,3.89935483870968,3.05533669354839,0.587365591397849,0.766129032258065,0.735551075268817,0,0
"48","Painter.LittleBear","2021","03",9.176,2.195,4.734,5.92264516129032,5.30222143817204,0.0477150537634409,0.470430107526882,0.354838709677419,0,0
"49","Red.LittleBear","2021","03",8.282,1.656,4.37651612903226,5.49241935483871,4.94103830645161,0.092741935483871,0.577620967741935,0.418682795698925,0,0
"50","Sand.Mill","2021","03",9.373,0.121,2.58261290322581,4.03338709677419,3.27789180107527,0.655241935483871,0.759408602150538,0.733198924731183,0,0
"51","SandSpring.LittleBear","2021","03",8.382,2.088,5.05216129032258,6.06396774193548,5.56780141129032,0.0198252688172043,0.34005376344086,0.206989247311828,0,0
"52","Sherman.Loyalsock","2021","03",9.768,0.343,2.23409677419355,4.62451612903226,3.2243313172043,0.600470430107527,0.757728494623656,0.724126344086022,0,0
"53","Shingle.Bear","2021","03",8.382,0.232,3.59625806451613,4.81958064516129,4.21294018817204,0.290658602150538,0.689852150537634,0.578965053763441,0,0
"54","Streby.Lick","2021","03",10.357,0.121,2.60138709677419,4.56690322580645,3.53293817204301,0.520497311827957,0.713709677419355,0.692204301075269,0,0
"55","Bear.Loyalsock","2021","04",15.378,1.439,6.15786666666667,9.8554,7.85614409722222,0.0208333333333333,0.140972222222222,0.0878472222222222,0,0
"56","Brunnerdale.Ogdonia","2021","04",12.207,2.41,6.0941,8.62806666666667,7.29203368055556,0.0107638888888889,0.135416666666667,0.0746527777777778,0,0
"57","Dry.Hoagland","2017","04",14.996,4.102,7.68623333333333,10.2894666666667,8.88211388888889,0,0.0621527777777778,0.01875,0,0
"58","Dry.Hoagland","2018","04",10.357,1.548,4.47993333333333,6.54546666666667,5.42166111111111,0.107638888888889,0.500347222222222,0.407986111111111,0,0
"59","Dry.Hoagland","2021","04",17.95,0.343,5.28806666666667,9.97886666666667,7.39046180555556,0.0638888888888889,0.201041666666667,0.161458333333333,0,0
"60","Dutchman.Loyalsock","2021","04",10.259,2.195,5.74246666666667,7.51346666666667,6.62566041666667,0.0145833333333333,0.178819444444444,0.123611111111111,0,0
"61","Ellis.Loyalsock","2021","04",13.076,1.221,5.5704,9.18313333333333,7.22459618055556,0.0295138888888889,0.162152777777778,0.122222222222222,0,0
"62","Grandad.Hessler","2021","04",10.553,4.415,6.95983333333333,8.3691,7.66232743055556,0,0.0194444444444444,0.000694444444444444,0,0
"63","Level.Lick","2021","04",11.819,1.003,5.6877,8.0874,6.81135208333333,0.0423611111111111,0.202430555555556,0.161458333333333,0,0
"64","Painter.LittleBear","2021","04",11.334,4.519,7.17496666666667,8.9322,8.00871770833333,0,0.0159722222222222,0,0,0
"65","Red.LittleBear","2021","04",10.553,3.998,6.6377,8.17536666666667,7.38831215277778,0,0.0517361111111111,0.0177083333333333,0,0
"66","SandSpring.LittleBear","2021","04",10.161,4.934,6.96873333333333,8.19766666666667,7.57194375,0,0.003125,0,0,0
"67","Sherman.Loyalsock","2021","04",12.98,2.088,6.06766666666667,9.63113333333333,7.628221875,0.01875,0.125694444444444,0.0885416666666667,0,0
"68","Shingle.Bear","2021","04",10.748,3.261,6.4285,8.16343333333333,7.29630381944444,0,0.078125,0.0447916666666667,0,0
"69","Streby.Lick","2021","04",13.076,1.221,6.1855,8.9832,7.50303472222222,0.0315972222222222,0.159027777777778,0.111805555555556,0,0
"70","Brunnerdale.Ogdonia","2021","05",14.804,6.37,8.97870967741935,11.2083225806452,10.0272066532258,0,0,0,0,0
"71","Dry.Hoagland","2017","05",16.427,6.573,9.74370967741936,11.7316451612903,10.7539637096774,0,0,0,0,0
"72","Dry.Hoagland","2018","05",14.517,5.757,10.4278064516129,12.2155483870968,11.2712056451613,0,0,0,0,0
"73","Dry.Hoagland","2021","05",20.138,6.166,8.85022580645161,12.3422580645161,10.5472715053763,0,0,0,0.000672043010752688,0
"74","Dutchman.Loyalsock","2021","05",13.365,6.064,8.38512903225806,10.0200967741935,9.20444052419355,0,0,0,0,0
"75","Ellis.Loyalsock","2021","05",17.284,5.757,8.6648064516129,12.1202903225806,10.2717432795699,0,0,0,0,0
"76","Grandad.Hessler","2021","05",12.98,7.079,8.92783870967742,10.2829677419355,9.59554905913978,0,0,0,0,0
"77","Level.Lick","2021","05",15.473,5.757,8.92496774193548,11.1996129032258,9.97643279569892,0,0,0,0,0
"78","Painter.LittleBear","2021","05",13.558,7.481,9.46087096774194,10.8668064516129,10.1326639784946,0,0,0,0,0
"79","Red.LittleBear","2021","05",12.69,6.471,8.59741935483871,10.0642580645161,9.31405846774194,0,0,0,0,0
"80","SandSpring.LittleBear","2021","05",12.013,6.877,8.63929032258065,9.791,9.18724865591398,0,0,0,0,0
"81","Sherman.Loyalsock","2021","05",18.806,6.064,9.42061290322581,13.2052258064516,11.1179317876344,0,0,0,0,0
"82","Shingle.Bear","2021","05",13.75,6.674,8.93954838709677,10.5199032258065,9.72426713709677,0,0,0,0,0
"83","Streby.Lick","2021","05",16.808,6.064,9.59241935483871,12.202064516129,10.8124331317204,0,0,0,0,0
"84","Brunnerdale.Ogdonia","2021","06",18.331,9.176,12.8597666666667,14.7549333333333,13.7780118055556,0,0,0,0,0
"85","Dry.Hoagland","2017","06",20.138,8.879,12.6920333333333,14.7974666666667,13.7736100694444,0,0,0,0.00208333333333333,0
"86","Dutchman.Loyalsock","2021","06",17.189,8.581,11.7767666666667,13.3212666666667,12.5547538194444,0,0,0,0,0
"87","Ellis.Loyalsock","2021","06",21.378,8.879,12.8272666666667,16.5699,14.5716572916667,0,0,0,0.0270833333333333,0
"88","Level.Lick","2021","06",18.901,9.176,12.9773333333333,14.939,13.924621875,0,0,0,0,0
"89","SandSpring.LittleBear","2021","06",14.613,8.68,11.2613666666667,12.3133666666667,11.7730510416667,0,0,0,0,0
"90","Sherman.Loyalsock","2021","06",24.835,9.965,15.3340666666667,18.8461,16.9188878472222,0,0,0,0.139930555555556,0.0104166666666667
"91","Shingle.Bear","2021","06",17.855,9.275,12.9538666666667,14.3972666666667,13.6744086805556,0,0,0,0,0
"92","Streby.Lick","2021","06",20.901,10.063,13.889,16.3025666666667,14.9950552083333,0,0,0,0.0215277777777778,0
"93","Bear.Loyalsock","2020","07",19.282,15.091,16.8384516129032,18.1894193548387,17.517029905914,0,0,0,0,0
"94","Brunnerdale.Ogdonia","2020","07",18.711,13.846,15.0659032258065,16.4388709677419,15.6855826612903,0,0,0,0,0
"95","Brunnerdale.Ogdonia","2021","07",17.189,12.98,14.5409032258065,16.0239032258064,15.2328810483871,0,0,0,0,0
"96","Conklin.Mill","2019","07",18.616,12.497,14.8767419354839,16.4296451612903,15.6197076612903,0,0,0,0,0
"97","Conklin.Mill","2020","07",18.236,13.558,15.3091290322581,17.0136774193548,16.1379012096774,0,0,0,0,0
"98","Dry.Hoagland","2017","07",18.14,13.75,15.3770967741935,16.2360322580645,15.7592019489247,0,0,0,0,0
"99","Dry.Hoagland","2020","07",18.236,14.613,16.1284516129032,16.893935483871,16.5121844758064,0,0,0,0,0
"100","Dry.Loyalsock","2020","07",22.525,16.046,17.7413548387097,20.3419677419355,18.835440188172,0,0,0,0.169354838709677,0
"101","Dutchman.Loyalsock","2020","07",17.57,13.076,14.6086774193548,15.993064516129,15.2784122983871,0,0,0,0,0
"102","Dutchman.Loyalsock","2021","07",16.332,11.819,13.8313548387097,15.1056129032258,14.4966327284946,0,0,0,0,0
"103","Ellis.Loyalsock","2020","07",21.187,13.942,15.9553548387097,19.4877096774194,17.6331636424731,0,0,0,0.0608198924731183,0
"104","Ellis.Loyalsock","2021","07",19.853,12.11,14.5642580645161,17.3083225806452,15.8066596102151,0,0,0,0,0
"105","Fall.Hoagland","2020","07",20.805,16.141,17.8425806451613,19.1653225806452,18.5554469086021,0,0,0,0.0184811827956989,0
"106","FlagMarsh.Pigeon","2020","07",18.996,14.134,15.8022258064516,17.7935806451613,16.8106814516129,0,0,0,0,0
"107","Grandad.Hessler","2020","07",16.903,12.98,14.269064516129,15.8546774193548,15.0088847446237,0,0,0,0,0
"108","Level.Lick","2020","07",18.996,14.804,16.4388064516129,17.8333870967742,17.1144630376344,0,0,0,0,0
"109","Painter.LittleBear","2020","07",20.138,14.421,16.2757096774194,18.2077096774194,17.1227365591398,0,0,0,0.00369623655913979,0
"110","Red.LittleBear","2020","07",16.332,12.497,14.1295483870968,15.1953870967742,14.6372768817204,0,0,0,0,0
"111","Sand.Mill","2020","07",21.378,15.664,17.4159032258065,18.7174193548387,18.0529459005376,0,0,0,0.0544354838709677,0
"112","SandSpring.LittleBear","2020","07",16.141,12.013,13.5871290322581,14.6705483870968,14.0933877688172,0,0,0,0,0
"113","SandSpring.LittleBear","2021","07",16.046,11.236,12.4459032258065,13.455935483871,12.8747439516129,0,0,0,0,0
"114","Sherman.Loyalsock","2020","07",25.902,15.951,18.833935483871,23.4839032258065,21.0435517473118,0,0,0,0.678427419354839,0.112903225806452
"115","Sherman.Loyalsock","2021","07",22.717,14.038,15.8848709677419,18.9665483870968,17.2586700268817,0,0,0,0.0567876344086021,0
"116","Shingle.Bear","2020","07",19.567,14.421,16.417064516129,17.7227419354839,17.0587422715054,0,0,0,0,0
"117","Shingle.Bear","2021","07",17.665,12.207,14.1473225806452,15.3146774193548,14.7135110887097,0,0,0,0,0
"118","Streby.Lick","2020","07",20.71,15.473,17.204,19.6718709677419,18.2425467069892,0,0,0,0.0443548387096774,0
"119","Swamp.Hoagland","2020","07",19.662,15.473,17.3944516129032,18.3981612903226,17.8856653225806,NA,NA,NA,0,0
"120","Yellow.LittleLoyalsock","2020","07",20.234,15.76,17.6031612903226,18.8952903225806,18.2405255376344,0,0,0,0.00235215053763441,0
"121","Bear.Loyalsock","2020","08",19.377,13.654,16.4508064516129,17.7074838709677,17.0992130376344,0,0,0,0,0
"122","Brunnerdale.Ogdonia","2020","08",19.377,12.497,13.9542258064516,15.3751935483871,14.720343077957,0,0,0,0,0
"123","Brunnerdale.Ogdonia","2021","08",18.521,12.69,15.7816774193548,17.2064516129032,16.4603064516129,0,0,0,0,0
"124","Conklin.Mill","2019","08",17.76,12.207,14.650064516129,16.1428709677419,15.3896327284946,0,0,0,0,0
"125","Conklin.Mill","2020","08",18.236,11.528,14.83,16.6201290322581,15.709157594086,0,0,0,0,0
"126","Dry.Hoagland","2017","08",17.665,12.594,14.592,15.5824516129032,15.0844438844086,0,0,0,0,0
"127","Dry.Hoagland","2020","08",18.236,13.846,15.9035483870968,16.7831935483871,16.3388309811828,0,0,0,0,0
"128","Dry.Loyalsock","2020","08",21.951,15.473,17.7073870967742,19.8471290322581,18.6693652553763,0,0,0,0.0987903225806452,0
"129","Dutchman.Loyalsock","2020","08",16.903,12.11,14.4632258064516,15.7065806451613,15.1027348790323,0,0,0,0,0
"130","Dutchman.Loyalsock","2021","08",17.855,11.431,14.1703548387097,15.422064516129,14.7804196908602,0,0,0,0,0
"131","Ellis.Loyalsock","2020","08",20.901,12.013,15.8035483870968,18.6989677419355,17.2644116263441,0,0,0,0.032258064516129,0
"132","Ellis.Loyalsock","2021","08",20.329,11.722,15.2412580645161,18.0512258064516,16.5111797715054,0,0,0,0.00403225806451613,0
"133","Fall.Hoagland","2020","08",19.758,13.365,16.6651290322581,17.998935483871,17.3875168010753,0,0,0,0,0
"134","FlagMarsh.Pigeon","2020","08",19.092,12.594,15.6996129032258,17.2281935483871,16.502844422043,0,0,0,0,0
"135","Grandad.Hessler","2020","08",16.903,11.625,14.2405161290323,15.7250967741935,14.9788108198925,0,0,0,0,0
"136","Level.Lick","2020","08",19.092,13.173,15.9614193548387,17.2621935483871,16.6063161962366,0,0,0,0,0
"137","Painter.LittleBear","2020","08",20.043,13.942,16.7245483870968,18.8953225806452,17.6984620295699,0,0,0,0.00201612903225806,0
"138","Red.LittleBear","2020","08",16.618,12.207,14.4882580645161,15.4233870967742,14.9404432123656,0,0,0,0,0
"139","Sand.Mill","2020","08",19.662,13.269,16.6226774193548,17.8824838709677,17.2791411290323,0,0,0,0,0
"140","SandSpring.LittleBear","2020","08",16.141,12.207,14.34,15.2879677419355,14.7985023521505,0,0,0,0,0
"141","Sherman.Loyalsock","2020","08",25.513,14.038,17.9802580645161,22.1093870967742,19.9160245295699,0,0,0,0.456653225806452,0.0366263440860215
"142","Sherman.Loyalsock","2021","08",23.1,14.421,17.2244516129032,19.8417419354839,18.4320440188172,0,0,0,0.147177419354839,0
"143","Shingle.Bear","2020","08",19.948,13.75,16.7583225806452,18.5086129032258,17.6320739247312,0,0,0,0,0
"144","Shingle.Bear","2021","08",17.95,12.497,15.434,16.4413225806452,15.9075208333333,0,0,0,0,0
"145","Streby.Lick","2020","08",20.71,13.269,16.3918387096774,18.5821290322581,17.3425409946237,0,0,0,0.00806451612903226,0
"146","Yellow.LittleLoyalsock","2020","08",19.853,14.134,17.016064516129,18.348935483871,17.6599321236559,0,0,0,0,0
"147","Bear.Loyalsock","2020","09",18.14,7.682,12.7417333333333,14.2564333333333,13.5542510416667,0,0,0,0,0
"148","Brunnerdale.Ogdonia","2020","09",17.95,7.983,11.9317333333333,13.1169,12.5355416666667,0,0,0,0,0
"149","Brunnerdale.Ogdonia","2021","09",17.379,11.431,13.9257333333333,15.3378333333333,14.6392822916667,0,0,0,0,0
"150","Conklin.Mill","2019","09",16.523,9.866,12.6887666666667,14.3583666666667,13.516078125,0,0,0,0,0
"151","Conklin.Mill","2020","09",17.76,6.166,11.7445333333333,13.7961,12.8143190972222,0,0,0,0,0
"152","Dry.Hoagland","2017","09",19.282,8.581,12.8300333333333,14.6025666666667,13.7901673611111,0,0,0,0,0
"153","Dry.Hoagland","2020","09",16.903,8.182,12.7276666666667,13.7552666666667,13.2510225694444,0,0,0,0,0
"154","Dutchman.Loyalsock","2020","09",17.475,7.179,11.7238666666667,13.0897666666667,12.4568190972222,0,0,0,0,0
"155","Dutchman.Loyalsock","2021","09",16.332,10.651,12.9667666666667,14.2142666666667,13.6199871527778,0,0,0,0,0
"156","Ellis.Loyalsock","2020","09",18.426,5.962,12.0094,14.7888,13.4722201388889,0,0,0,0,0
"157","Ellis.Loyalsock","2021","09",17.95,10.553,13.418,15.7929333333333,14.5095048611111,0,0,0,0,0
"158","Fall.Hoagland","2020","09",18.14,6.674,12.4296333333333,14.0011666666667,13.2330052083333,0,0,0,0,0
"159","FlagMarsh.Pigeon","2020","09",17.189,6.37,11.9847666666667,13.3059333333333,12.6669923611111,0,0,0,0,0
"160","Grandad.Hessler","2020","09",15.76,6.573,11.6357,13.1783666666667,12.4340836805556,0,0,0,0,0
"161","Level.Lick","2020","09",16.808,6.674,12.1810666666667,13.6456666666667,12.9654940972222,0,0,0,0,0
"162","Painter.LittleBear","2020","09",18.901,7.782,13.3783,15.9392333333333,14.6603451388889,0,0,0,0,0
"163","Red.LittleBear","2020","09",15.951,7.582,11.9963,13.1919,12.5873722222222,0,0,0,0,0
"164","Sand.Mill","2020","09",18.331,7.28,13.0806666666667,14.7359666666667,13.9612347222222,0,0,0,0,0
"165","SandSpring.LittleBear","2020","09",16.141,7.782,12.1757666666667,13.3799,12.7804475694444,0,0,0,0,0
"166","Sherman.Loyalsock","2020","09",21.569,7.983,13.7180333333333,17.1531,15.3836086805556,0,0,0,0.0513888888888889,0
"167","Sherman.Loyalsock","2021","09",19.282,11.819,14.3924666666667,16.7114333333333,15.482325,0,0,0,0,0
"168","Streby.Lick","2020","09",17.855,7.179,12.4724,14.5734333333333,13.5603072916667,0,0,0,0,0
"169","Yellow.LittleLoyalsock","2020","09",18.806,7.882,13.2751,14.8820666666667,14.0683680555556,0,0,0,0,0
"170","Bear.Loyalsock","2020","10",14.613,6.268,9.80764516129032,11.2068709677419,10.510876344086,0,0,0,0,0
"171","Brunnerdale.Ogdonia","2020","10",12.69,6.471,9.76090322580645,10.9199677419355,10.3749156586022,0,0,0,0,0
"172","Brunnerdale.Ogdonia","2021","10",15.473,9.077,11.8178709677419,13.0995161290323,12.4891747311828,0,0,0,0,0
"173","Conklin.Mill","2019","10",16.523,6.471,9.63196774193548,11.3019677419355,10.4726572580645,0,0,0,0,0
"174","Conklin.Mill","2020","10",14.325,5.655,8.78251612903226,10.7221935483871,9.80818918010753,0,0,0,0,0
"175","Dry.Hoagland","2017","10",17.665,5.552,10.7087741935484,12.782064516129,11.7980084005376,0,0,0,0,0
"176","Dry.Hoagland","2020","10",13.365,7.481,10.0926129032258,10.957935483871,10.5339932795699,0,0,0,0,0
"177","Dry.Loyalsock","2020","10",15.282,7.782,10.9975161290323,12.4165806451613,11.7020178091398,0,0,0,0,0
"178","Dutchman.Loyalsock","2020","10",12.497,5.86,8.97070967741936,10.1236451612903,9.56814885752688,0,0,0,0,0
"179","Dutchman.Loyalsock","2021","10",13.846,8.68,10.9734193548387,12.0894838709677,11.590533266129,0,0,0,0,0
"180","Ellis.Loyalsock","2020","10",14.613,5.037,8.80445161290323,11.1524838709677,9.99751444892473,0,0,0,0,0
"181","Ellis.Loyalsock","2021","10",16.427,8.282,11.1156451612903,13.2436451612903,12.1379122983871,0,0,0,0,0
"182","Fall.Hoagland","2020","10",13.846,4.831,8.83738709677419,10.1879032258065,9.48277049731183,0,0.0030241935483871,0,0,0
"183","FlagMarsh.Pigeon","2020","10",12.207,5.347,8.72441935483871,9.95790322580645,9.34542439516129,0,0,0,0,0
"184","Grandad.Hessler","2020","10",13.269,5.655,8.74574193548387,10.2506451612903,9.50503931451613,0,0,0,0,0
"185","Level.Lick","2020","10",13.269,5.45,8.90806451612903,10.1939677419355,9.56371807795699,0,0,0,0,0
"186","Painter.LittleBear","2020","10",15.091,7.582,10.4675161290323,12.1010967741935,11.276154233871,0,0,0,0,0
"187","Red.LittleBear","2020","10",13.269,6.268,9.27641935483871,10.3721612903226,9.82190524193548,0,0,0,0,0
"188","Sand.Mill","2020","10",14.23,6.674,9.78467741935484,11.203,10.5324647177419,0,0,0,0,0
"189","SandSpring.LittleBear","2020","10",12.98,6.37,9.44970967741935,10.4933870967742,9.9832123655914,0,0,0,0,0
"190","SandSpring.LittleBear","2021","10",13.558,9.472,11.0254193548387,11.791935483871,11.4201129032258,0,0,0,0,0
"191","Sherman.Loyalsock","2020","10",16.618,6.268,10.1450967741935,12.6665161290323,11.362623655914,0,0,0,0,0
"192","Sherman.Loyalsock","2021","10",16.427,9.275,11.8412580645161,13.6006774193548,12.663125,0,0,0,0,0
"193","Streby.Lick","2020","10",14.421,5.552,9.15361290322581,10.9878064516129,10.0717946908602,0,0,0,0,0
"194","Streby.Lick","2021","10",15.855,7.682,11.3881290322581,12.9521612903226,12.2027876344086,0,0,0,0,0
"195","Yellow.LittleLoyalsock","2020","10",14.517,5.757,10.3619032258065,11.727064516129,11.0247234543011,0,0,0,0,0
"196","Bear.Loyalsock","2020","11",11.625,1.98,5.60363333333333,7.3736,6.48844861111111,0.0208333333333333,0.186458333333333,0.0930555555555556,0,0
"197","Brunnerdale.Ogdonia","2020","11",12.401,3.049,6.2092,7.8294,7.02594131944444,0,0.0829861111111111,0.0479166666666667,0,0
"198","Brunnerdale.Ogdonia","2021","11",10.748,3.155,6.01616666666667,7.37873333333333,6.73156041666667,0,0.226736111111111,0.178125,0,0
"199","Conklin.Mill","2020","11",12.401,1.656,5.57686666666667,7.44366666666667,6.51765243055556,0.0430555555555556,0.246180555555556,0.100694444444444,0,0
"200","Dry.Hoagland","2017","11",11.236,2.624,5.32706666666667,6.54083333333333,5.9469875,0.0114583333333333,0.399652777777778,0.28125,0,0
"201","Dry.Hoagland","2020","11",11.236,3.683,6.5305,7.6695,7.12717361111111,0,0.0631944444444444,0.0204861111111111,0,0
"202","Dry.Loyalsock","2020","11",11.528,4.207,6.65986666666667,7.89906666666667,7.27699861111111,0,0.0288194444444444,0.0111111111111111,0,0
"203","Dutchman.Loyalsock","2020","11",11.236,2.088,5.42166666666667,6.92096666666667,6.18507048611111,0.0211805555555556,0.204513888888889,0.0899305555555556,0,0
"204","Dutchman.Loyalsock","2021","11",9.965,3.367,5.7548,6.99063333333333,6.41135520833333,0,0.229166666666667,0.173958333333333,0,0
"205","Ellis.Loyalsock","2020","11",11.819,1.221,5.00973333333333,7.46153333333333,6.21496770833333,0.0291666666666667,0.263541666666667,0.125347222222222,0,0
"206","Ellis.Loyalsock","2021","11",10.259,1.98,5.08623333333333,7.06556666666667,6.08195694444444,0.0541666666666667,0.294444444444444,0.247222222222222,0,0
"207","Fall.Hoagland","2020","11",12.013,0.232,4.31843333333333,6.1606,5.19014826388889,0.0934027777777778,0.479861111111111,0.356597222222222,0,0
"208","FlagMarsh.Pigeon","2020","11",11.528,1.003,4.8532,6.85726666666667,5.870440625,0.05,0.338194444444444,0.232638888888889,0,0
"209","Grandad.Hessler","2020","11",10.846,2.837,5.53333333333333,6.94663333333333,6.23348333333333,0.00972222222222222,0.161458333333333,0.065625,0,0
"210","Level.Lick","2020","11",10.259,1.33,4.65003333333333,6.13916666666667,5.39812465277778,0.0569444444444444,0.411111111111111,0.287847222222222,0,0
