"","SiteCode","Year","Month","Highest_Temperature_C","Lowest_Temperature_C","AvgMin","AvgMax","numberoflogs_MYG10"
"150","Ellis.Loyalsock","2021","04",13.076,1.221,5.5704,9.18313333333333,318
"151","Ellis.Loyalsock","2021","05",17.284,5.757,8.6648064516129,12.1202903225806,1407
"152","Ellis.Loyalsock","2021","06",21.378,8.879,12.8272666666667,16.5699,2816
"153","Ellis.Loyalsock","2021","07",19.853,12.11,14.5642580645161,17.3083225806452,2976
"154","Ellis.Loyalsock","2021","08",20.329,11.722,15.2412580645161,18.0512258064516,2976
"155","Ellis.Loyalsock","2021","09",17.95,10.553,13.418,15.7929333333333,2880
"156","Ellis.Loyalsock","2021","10",16.427,8.282,11.1156451612903,13.2436451612903,2607
"157","Ellis.Loyalsock","2021","11",10.259,1.98,5.08623333333333,7.06556666666667,48
"158","Ellis.Loyalsock","2021","12",7.079,1.98,3.46708333333333,5.11516666666667,0
"159","Fall.Hoagland","2018","06",18.426,15.091,15.83125,17.40275,314
"160","Fall.Hoagland","2018","07",20.043,14.325,16.5637419354839,18.1371612903226,2976
"161","Fall.Hoagland","2018","08",20.043,13.846,17.1604193548387,18.7294516129032,2976
"162","Fall.Hoagland","2018","09",20.138,10.651,15.3225333333333,17.1226333333333,2880
"163","Fall.Hoagland","2018","10",17.95,4.207,9.66229032258065,11.4550967741935,1344
"164","Fall.Hoagland","2018","11",11.139,0.01,3.43166666666667,4.84216666666667,102
"165","Fall.Hoagland","2018","12",7.179,0.01,1.45090322580645,2.73074193548387,0
"166","Fall.Hoagland","2019","01",4.415,0.01,0.468096774193548,0.927774193548387,0
"167","Fall.Hoagland","2019","02",1.98,0.01,0.01,0.1675,0
"168","Fall.Hoagland","2019","03",6.877,0.01,0.558483870967742,1.86948387096774,0
"169","Fall.Hoagland","2019","04",13.365,0.232,5.80603333333333,8.64783333333333,508
"170","Fall.Hoagland","2019","05",16.808,7.381,10.7564838709677,13.3052580645161,2390
"171","Fall.Hoagland","2019","06",21.282,8.879,12.4222857142857,16.1684642857143,2568
"172","Fall.Hoagland","2020","06",18.14,14.709,15.791,17.1886666666667,516
"173","Fall.Hoagland","2020","07",20.805,16.141,17.8425806451613,19.1653225806452,2976
"174","Fall.Hoagland","2020","08",19.758,13.365,16.6651290322581,17.998935483871,2976
"175","Fall.Hoagland","2020","09",18.14,6.674,12.4296333333333,14.0011666666667,2351
"176","Fall.Hoagland","2020","10",13.846,4.831,8.83738709677419,10.1879032258065,1057
"177","Fall.Hoagland","2020","11",12.013,0.232,4.31843333333333,6.1606,83
"178","Fall.Hoagland","2020","12",6.978,-4.393,0.550645161290323,1.81541935483871,0
"179","Fall.Hoagland","2021","01",0.121,-8.182,-2.81622580645161,-1.00209677419355,0
"180","Fall.Hoagland","2021","02",0.01,-2.962,-1.05332142857143,-0.583107142857143,0
"181","Fall.Hoagland","2021","03",12.69,-3.197,0.699612903225806,3.70596774193548,151
"182","Fall.Hoagland","2021","04",18.806,-3.316,3.89463333333333,10.1434333333333,702
"183","Fall.Hoagland","2021","05",21.091,2.303,7.91216129032258,13.9173225806452,1622
"184","Fall.Hoagland","2021","06",23.966,6.775,13.2308666666667,18.5116666666667,2693
